DATE,HOMETEAM,AWAYTEAM,FTHG,FTAG,FTTG,Result
8/20/2016,Juventus,Fiorentina,2,1,3,1
8/20/2016,Roma,Udinese,4,0,4,1
8/21/2016,Atalanta,Lazio,3,4,7,0
8/21/2016,Bologna,Crotone,1,0,1,1
8/21/2016,Chievo,Inter,2,0,2,1
8/21/2016,Empoli,Sampdoria,0,1,1,0
8/21/2016,Genoa,Cagliari,3,1,4,1
8/21/2016,Milan,Torino,3,2,5,1
8/21/2016,Palermo,Sassuolo,0,1,1,0
8/21/2016,Pescara,Napoli,2,2,4,0
8/27/2016,Lazio,Juventus,0,1,1,0
8/27/2016,Napoli,Milan,4,2,6,1
8/28/2016,Cagliari,Roma,2,2,4,0
8/28/2016,Crotone,Genoa,1,3,4,0
8/28/2016,Fiorentina,Chievo,1,0,1,1
8/28/2016,Inter,Palermo,1,1,2,0
8/28/2016,Sampdoria,Atalanta,2,1,3,1
8/28/2016,Sassuolo,Pescara,0,3,3,0
8/28/2016,Torino,Bologna,5,1,6,1
8/28/2016,Udinese,Empoli,2,0,2,1
9/10/2016,Juventus,Sassuolo,3,1,4,1
9/10/2016,Palermo,Napoli,0,3,3,0
9/11/2016,Atalanta,Torino,2,1,3,1
9/11/2016,Bologna,Cagliari,2,1,3,1
9/11/2016,Chievo,Lazio,1,1,2,0
9/11/2016,Milan,Udinese,0,1,1,0
9/11/2016,Pescara,Inter,1,2,3,0
9/11/2016,Roma,Sampdoria,3,2,5,1
9/12/2016,Empoli,Crotone,2,1,3,1
9/16/2016,Sampdoria,Milan,0,1,1,0
9/17/2016,Lazio,Pescara,3,0,3,1
9/17/2016,Napoli,Bologna,3,1,4,1
9/18/2016,Cagliari,Atalanta,3,0,3,1
9/18/2016,Crotone,Palermo,1,1,2,0
9/18/2016,Fiorentina,Roma,1,0,1,1
9/18/2016,Inter,Juventus,2,1,3,1
9/18/2016,Sassuolo,Genoa,2,0,2,1
9/18/2016,Torino,Empoli,0,0,0,0
9/18/2016,Udinese,Chievo,1,2,3,0
9/20/2016,Milan,Lazio,2,0,2,1
9/21/2016,Atalanta,Palermo,0,1,1,0
9/21/2016,Bologna,Sampdoria,2,0,2,1
9/21/2016,Chievo,Sassuolo,2,1,3,1
9/21/2016,Empoli,Inter,0,2,2,0
9/21/2016,Genoa,Napoli,0,0,0,0
9/21/2016,Juventus,Cagliari,4,0,4,1
9/21/2016,Pescara,Torino,0,0,0,0
9/21/2016,Roma,Crotone,4,0,4,1
9/21/2016,Udinese,Fiorentina,2,2,4,0
9/24/2016,Napoli,Chievo,2,0,2,1
9/24/2016,Palermo,Juventus,0,1,1,0
9/25/2016,Fiorentina,Milan,0,0,0,0
9/25/2016,Genoa,Pescara,1,1,2,0
9/25/2016,Inter,Bologna,1,1,2,0
9/25/2016,Lazio,Empoli,2,0,2,1
9/25/2016,Sassuolo,Udinese,1,0,1,1
9/25/2016,Torino,Roma,3,1,4,1
9/26/2016,Cagliari,Sampdoria,2,1,3,1
9/26/2016,Crotone,Atalanta,1,3,4,0
10/1/2016,Pescara,Chievo,0,2,2,0
10/1/2016,Udinese,Lazio,0,3,3,0
10/2/2016,Atalanta,Napoli,1,0,1,1
10/2/2016,Bologna,Genoa,0,1,1,0
10/2/2016,Cagliari,Crotone,2,1,3,1
10/2/2016,Empoli,Juventus,0,3,3,0
10/2/2016,Milan,Sassuolo,4,3,7,1
10/2/2016,Roma,Inter,2,1,3,1
10/2/2016,Sampdoria,Palermo,1,1,2,0
10/2/2016,Torino,Fiorentina,2,1,3,1
10/15/2016,Juventus,Udinese,2,1,3,1
10/15/2016,Napoli,Roma,1,3,4,0
10/15/2016,Pescara,Sampdoria,1,1,2,0
10/16/2016,Chievo,Milan,1,3,4,0
10/16/2016,Fiorentina,Atalanta,0,0,0,0
10/16/2016,Genoa,Empoli,0,0,0,0
10/16/2016,Inter,Cagliari,1,2,3,0
10/16/2016,Lazio,Bologna,1,1,2,0
10/16/2016,Sassuolo,Crotone,2,1,3,1
10/17/2016,Palermo,Torino,1,4,5,0
10/22/2016,Milan,Juventus,1,0,1,1
10/22/2016,Sampdoria,Genoa,2,1,3,1
10/23/2016,Atalanta,Inter,2,1,3,1
10/23/2016,Bologna,Sassuolo,1,1,2,0
10/23/2016,Cagliari,Fiorentina,3,5,8,0
10/23/2016,Crotone,Napoli,1,2,3,0
10/23/2016,Empoli,Chievo,0,0,0,0
10/23/2016,Roma,Palermo,4,1,5,1
10/23/2016,Torino,Lazio,2,2,4,0
10/23/2016,Udinese,Pescara,3,1,4,1
10/25/2016,Genoa,Milan,3,0,3,1
10/26/2016,Chievo,Bologna,1,1,2,0
10/26/2016,Fiorentina,Crotone,1,1,2,0
10/26/2016,Inter,Torino,2,1,3,1
10/26/2016,Juventus,Sampdoria,4,1,5,1
10/26/2016,Lazio,Cagliari,4,1,5,1
10/26/2016,Napoli,Empoli,2,0,2,1
10/26/2016,Pescara,Atalanta,0,1,1,0
10/26/2016,Sassuolo,Roma,1,3,4,0
10/27/2016,Palermo,Udinese,1,3,4,0
10/29/2016,Bologna,Fiorentina,0,1,1,0
10/29/2016,Juventus,Napoli,2,1,3,1
10/30/2016,Atalanta,Genoa,3,0,3,1
10/30/2016,Crotone,Chievo,2,0,2,1
10/30/2016,Empoli,Roma,0,0,0,0
10/30/2016,Lazio,Sassuolo,2,1,3,1
10/30/2016,Milan,Pescara,1,0,1,1
10/30/2016,Sampdoria,Inter,1,0,1,1
10/31/2016,Cagliari,Palermo,2,1,3,1
10/31/2016,Udinese,Torino,2,2,4,0
11/5/2016,Napoli,Lazio,1,1,2,0
11/5/2016,Torino,Cagliari,5,1,6,1
11/6/2016,Chievo,Juventus,1,2,3,0
11/6/2016,Fiorentina,Sampdoria,1,1,2,0
11/6/2016,Genoa,Udinese,1,1,2,0
11/6/2016,Inter,Crotone,3,0,3,1
11/6/2016,Palermo,Milan,1,2,3,0
11/6/2016,Pescara,Empoli,0,4,4,0
11/6/2016,Roma,Bologna,3,0,3,1
11/6/2016,Sassuolo,Atalanta,0,3,3,0
11/19/2016,Chievo,Cagliari,1,0,1,1
11/19/2016,Juventus,Pescara,3,0,3,1
11/19/2016,Udinese,Napoli,1,2,3,0
11/20/2016,Atalanta,Roma,2,1,3,1
11/20/2016,Bologna,Palermo,3,1,4,1
11/20/2016,Crotone,Torino,0,2,2,0
11/20/2016,Empoli,Fiorentina,0,4,4,0
11/20/2016,Lazio,Genoa,3,1,4,1
11/20/2016,Milan,Inter,2,2,4,0
11/20/2016,Sampdoria,Sassuolo,3,2,5,1
11/26/2016,Empoli,Milan,1,4,5,0
11/26/2016,Torino,Chievo,2,1,3,1
11/27/2016,Bologna,Atalanta,0,2,2,0
11/27/2016,Cagliari,Udinese,2,1,3,1
11/27/2016,Crotone,Sampdoria,1,1,2,0
11/27/2016,Genoa,Juventus,3,1,4,1
11/27/2016,Palermo,Lazio,0,1,1,0
11/27/2016,Roma,Pescara,3,2,5,1
11/28/2016,Inter,Fiorentina,4,2,6,1
11/28/2016,Napoli,Sassuolo,1,1,2,0
12/2/2016,Napoli,Inter,3,0,3,1
12/3/2016,Juventus,Atalanta,3,1,4,1
12/4/2016,Fiorentina,Palermo,2,1,3,1
12/4/2016,Lazio,Roma,0,2,2,0
12/4/2016,Milan,Crotone,2,1,3,1
12/4/2016,Pescara,Cagliari,1,1,2,0
12/4/2016,Sampdoria,Torino,2,0,2,1
12/4/2016,Sassuolo,Empoli,3,0,3,1
12/5/2016,Chievo,Genoa,0,0,0,0
12/5/2016,Udinese,Bologna,1,0,1,1
12/10/2016,Crotone,Pescara,2,1,3,1
12/10/2016,Sampdoria,Lazio,1,2,3,0
12/11/2016,Atalanta,Udinese,1,3,4,0
12/11/2016,Bologna,Empoli,0,0,0,0
12/11/2016,Cagliari,Napoli,0,5,5,0
12/11/2016,Inter,Genoa,2,0,2,1
12/11/2016,Palermo,Chievo,0,2,2,0
12/11/2016,Torino,Juventus,1,3,4,0
12/12/2016,Fiorentina,Sassuolo,2,1,3,1
12/12/2016,Roma,Milan,1,0,1,1
12/15/2016,Genoa,Fiorentina,1,0,1,1
12/17/2016,Empoli,Cagliari,2,0,2,1
12/17/2016,Juventus,Roma,1,0,1,1
12/17/2016,Milan,Atalanta,0,0,0,0
12/18/2016,Chievo,Sampdoria,2,1,3,1
12/18/2016,Genoa,Palermo,3,4,7,0
12/18/2016,Lazio,Fiorentina,3,1,4,1
12/18/2016,Napoli,Torino,5,3,8,1
12/18/2016,Pescara,Bologna,0,3,3,0
12/18/2016,Sassuolo,Inter,0,1,1,0
12/18/2016,Udinese,Crotone,2,0,2,1
12/20/2016,Atalanta,Empoli,2,1,3,1
12/21/2016,Inter,Lazio,3,0,3,1
12/22/2016,Cagliari,Sassuolo,4,3,7,1
12/22/2016,Fiorentina,Napoli,3,3,6,0
12/22/2016,Palermo,Pescara,1,1,2,0
12/22/2016,Roma,Chievo,3,1,4,1
12/22/2016,Sampdoria,Udinese,0,0,0,0
12/22/2016,Torino,Genoa,1,0,1,1
1/7/2017,Empoli,Palermo,1,0,1,1
1/7/2017,Napoli,Sampdoria,2,1,3,1
1/8/2017,Chievo,Atalanta,1,4,5,0
1/8/2017,Genoa,Roma,0,1,1,0
1/8/2017,Juventus,Bologna,3,0,3,1
1/8/2017,Lazio,Crotone,1,0,1,1
1/8/2017,Milan,Cagliari,1,0,1,1
1/8/2017,Sassuolo,Torino,0,0,0,0
1/8/2017,Udinese,Inter,1,2,3,0
1/14/2017,Crotone,Bologna,0,1,1,0
1/14/2017,Inter,Chievo,3,1,4,1
1/15/2017,Cagliari,Genoa,4,1,5,1
1/15/2017,Fiorentina,Juventus,2,1,3,1
1/15/2017,Lazio,Atalanta,2,1,3,1
1/15/2017,Napoli,Pescara,3,1,4,1
1/15/2017,Sampdoria,Empoli,0,0,0,0
1/15/2017,Sassuolo,Palermo,4,1,5,1
1/15/2017,Udinese,Roma,0,1,1,0
1/16/2017,Torino,Milan,2,2,4,0
1/21/2017,Chievo,Fiorentina,0,3,3,0
1/21/2017,Milan,Napoli,1,2,3,0
1/22/2017,Atalanta,Sampdoria,1,0,1,1
1/22/2017,Bologna,Torino,2,0,2,1
1/22/2017,Empoli,Udinese,1,0,1,1
1/22/2017,Genoa,Crotone,2,2,4,0
1/22/2017,Juventus,Lazio,2,0,2,1
1/22/2017,Palermo,Inter,0,1,1,0
1/22/2017,Pescara,Sassuolo,1,3,4,0
1/22/2017,Roma,Cagliari,1,0,1,1
1/28/2017,Inter,Pescara,3,0,3,1
1/28/2017,Lazio,Chievo,0,1,1,0
1/29/2017,Cagliari,Bologna,1,1,2,0
1/29/2017,Crotone,Empoli,4,1,5,1
1/29/2017,Fiorentina,Genoa,3,3,6,0
1/29/2017,Napoli,Palermo,1,1,2,0
1/29/2017,Sampdoria,Roma,3,2,5,1
1/29/2017,Sassuolo,Juventus,0,2,2,0
1/29/2017,Torino,Atalanta,1,1,2,0
1/29/2017,Udinese,Milan,2,1,3,1
2/1/2017,Pescara,Fiorentina,1,2,3,0
2/4/2017,Bologna,Napoli,1,7,8,0
2/5/2017,Atalanta,Cagliari,2,0,2,1
2/5/2017,Chievo,Udinese,0,0,0,0
2/5/2017,Empoli,Torino,1,1,2,0
2/5/2017,Genoa,Sassuolo,0,1,1,0
2/5/2017,Juventus,Inter,1,0,1,1
2/5/2017,Milan,Sampdoria,0,1,1,0
2/5/2017,Palermo,Crotone,1,0,1,1
2/5/2017,Pescara,Lazio,2,6,8,0
2/7/2017,Roma,Fiorentina,4,0,4,1
2/8/2017,Bologna,Milan,0,1,1,0
2/8/2017,Crotone,Juventus,0,2,2,0
2/10/2017,Napoli,Genoa,2,0,2,1
2/11/2017,Fiorentina,Udinese,3,0,3,1
2/12/2017,Cagliari,Juventus,0,2,2,0
2/12/2017,Crotone,Roma,0,2,2,0
2/12/2017,Inter,Empoli,2,0,2,1
2/12/2017,Palermo,Atalanta,1,3,4,0
2/12/2017,Sampdoria,Bologna,3,1,4,1
2/12/2017,Sassuolo,Chievo,1,3,4,0
2/12/2017,Torino,Pescara,5,3,8,1
2/13/2017,Lazio,Milan,1,1,2,0
2/17/2017,Juventus,Palermo,4,1,5,1
2/18/2017,Atalanta,Crotone,1,0,1,1
2/18/2017,Empoli,Lazio,1,2,3,0
2/19/2017,Bologna,Inter,0,1,1,0
2/19/2017,Chievo,Napoli,1,3,4,0
2/19/2017,Milan,Fiorentina,2,1,3,1
2/19/2017,Pescara,Genoa,5,0,5,1
2/19/2017,Roma,Torino,4,1,5,1
2/19/2017,Sampdoria,Cagliari,1,1,2,0
2/19/2017,Udinese,Sassuolo,1,2,3,0
2/25/2017,Juventus,Empoli,2,0,2,1
2/25/2017,Napoli,Atalanta,0,2,2,0
2/26/2017,Chievo,Pescara,2,0,2,1
2/26/2017,Crotone,Cagliari,1,2,3,0
2/26/2017,Genoa,Bologna,1,1,2,0
2/26/2017,Inter,Roma,1,3,4,0
2/26/2017,Lazio,Udinese,1,0,1,1
2/26/2017,Palermo,Sampdoria,1,1,2,0
2/26/2017,Sassuolo,Milan,0,1,1,0
2/27/2017,Fiorentina,Torino,2,2,4,0
3/4/2017,Milan,Chievo,3,1,4,1
3/4/2017,Roma,Napoli,1,2,3,0
3/4/2017,Sampdoria,Pescara,3,1,4,1
3/5/2017,Atalanta,Fiorentina,0,0,0,0
3/5/2017,Bologna,Lazio,0,2,2,0
3/5/2017,Cagliari,Inter,1,5,6,0
3/5/2017,Crotone,Sassuolo,0,0,0,0
3/5/2017,Empoli,Genoa,0,2,2,0
3/5/2017,Torino,Palermo,3,1,4,1
3/5/2017,Udinese,Juventus,1,1,2,0
3/10/2017,Juventus,Milan,2,1,3,1
3/11/2017,Genoa,Sampdoria,0,1,1,0
3/12/2017,Chievo,Empoli,4,0,4,1
3/12/2017,Fiorentina,Cagliari,1,0,1,1
3/12/2017,Inter,Atalanta,7,1,8,1
3/12/2017,Napoli,Crotone,3,0,3,1
3/12/2017,Palermo,Roma,0,3,3,0
3/12/2017,Pescara,Udinese,1,3,4,0
3/12/2017,Sassuolo,Bologna,0,1,1,0
3/13/2017,Lazio,Torino,3,1,4,1
3/18/2017,Milan,Genoa,1,0,1,1
3/18/2017,Torino,Inter,2,2,4,0
3/19/2017,Atalanta,Pescara,3,0,3,1
3/19/2017,Bologna,Chievo,4,1,5,1
3/19/2017,Cagliari,Lazio,0,0,0,0
3/19/2017,Crotone,Fiorentina,0,1,1,0
3/19/2017,Empoli,Napoli,2,3,5,0
3/19/2017,Roma,Sassuolo,3,1,4,1
3/19/2017,Sampdoria,Juventus,0,1,1,0
3/19/2017,Udinese,Palermo,4,1,5,1
4/1/2017,Roma,Empoli,2,0,2,1
4/1/2017,Sassuolo,Lazio,1,2,3,0
4/2/2017,Chievo,Crotone,1,2,3,0
4/2/2017,Fiorentina,Bologna,1,0,1,1
4/2/2017,Genoa,Atalanta,0,5,5,0
4/2/2017,Napoli,Juventus,1,1,2,0
4/2/2017,Palermo,Cagliari,1,3,4,0
4/2/2017,Pescara,Milan,1,1,2,0
4/2/2017,Torino,Udinese,2,2,4,0
4/3/2017,Inter,Sampdoria,1,2,3,0
4/8/2017,Atalanta,Sassuolo,1,1,2,0
4/8/2017,Empoli,Pescara,1,1,2,0
4/8/2017,Juventus,Chievo,2,0,2,1
4/9/2017,Bologna,Roma,0,3,3,0
4/9/2017,Cagliari,Torino,2,3,5,0
4/9/2017,Crotone,Inter,2,1,3,1
4/9/2017,Lazio,Napoli,0,3,3,0
4/9/2017,Milan,Palermo,4,0,4,1
4/9/2017,Sampdoria,Fiorentina,2,2,4,0
4/9/2017,Udinese,Genoa,3,0,3,1
4/15/2017,Cagliari,Chievo,4,0,4,1
4/15/2017,Fiorentina,Empoli,1,2,3,0
4/15/2017,Genoa,Lazio,2,2,4,0
4/15/2017,Inter,Milan,2,2,4,0
4/15/2017,Napoli,Udinese,3,0,3,1
4/15/2017,Palermo,Bologna,0,0,0,0
4/15/2017,Pescara,Juventus,0,2,2,0
4/15/2017,Roma,Atalanta,1,1,2,0
4/15/2017,Sassuolo,Sampdoria,2,1,3,1
4/15/2017,Torino,Crotone,1,1,2,0
4/22/2017,Atalanta,Bologna,3,2,5,1
4/22/2017,Fiorentina,Inter,5,4,9,1
4/23/2017,Chievo,Torino,1,3,4,0
4/23/2017,Juventus,Genoa,4,0,4,1
4/23/2017,Lazio,Palermo,6,2,8,1
4/23/2017,Milan,Empoli,1,2,3,0
4/23/2017,Sampdoria,Crotone,1,2,3,0
4/23/2017,Sassuolo,Napoli,2,2,4,0
4/23/2017,Udinese,Cagliari,2,1,3,1
4/24/2017,Pescara,Roma,1,4,5,0
4/28/2017,Atalanta,Juventus,2,2,4,0
4/29/2017,Torino,Sampdoria,1,1,2,0
4/30/2017,Bologna,Udinese,4,0,4,1
4/30/2017,Cagliari,Pescara,1,0,1,1
4/30/2017,Crotone,Milan,1,1,2,0
4/30/2017,Empoli,Sassuolo,1,3,4,0
4/30/2017,Genoa,Chievo,1,2,3,0
4/30/2017,Inter,Napoli,0,1,1,0
4/30/2017,Palermo,Fiorentina,2,0,2,1
4/30/2017,Roma,Lazio,1,3,4,0
5/6/2017,Juventus,Torino,1,1,2,0
5/6/2017,Napoli,Cagliari,3,1,4,1
5/7/2017,Chievo,Palermo,1,1,2,0
5/7/2017,Empoli,Bologna,3,1,4,1
5/7/2017,Genoa,Inter,1,0,1,1
5/7/2017,Lazio,Sampdoria,7,3,10,1
5/7/2017,Milan,Roma,1,4,5,0
5/7/2017,Pescara,Crotone,0,1,1,0
5/7/2017,Sassuolo,Fiorentina,2,2,4,0
5/7/2017,Udinese,Atalanta,1,1,2,0
5/13/2017,Atalanta,Milan,1,1,2,0
5/13/2017,Fiorentina,Lazio,3,2,5,1
5/14/2017,Bologna,Pescara,3,1,4,1
5/14/2017,Cagliari,Empoli,3,2,5,1
5/14/2017,Crotone,Udinese,1,0,1,1
5/14/2017,Inter,Sassuolo,1,2,3,0
5/14/2017,Palermo,Genoa,1,0,1,1
5/14/2017,Roma,Juventus,3,1,4,1
5/14/2017,Sampdoria,Chievo,1,1,2,0
5/14/2017,Torino,Napoli,0,5,5,0
5/20/2017,Chievo,Roma,3,5,8,0
5/20/2017,Napoli,Fiorentina,4,1,5,1
5/21/2017,Empoli,Atalanta,0,1,1,0
5/21/2017,Genoa,Torino,2,1,3,1
5/21/2017,Juventus,Crotone,3,0,3,1
5/21/2017,Lazio,Inter,1,3,4,0
5/21/2017,Milan,Bologna,3,0,3,1
5/21/2017,Sassuolo,Cagliari,6,2,8,1
5/21/2017,Udinese,Sampdoria,1,1,2,0
5/22/2017,Pescara,Palermo,2,0,2,1
5/27/2017,Atalanta,Chievo,1,0,1,1
5/27/2017,Bologna,Juventus,1,2,3,0
5/28/2017,Cagliari,Milan,2,1,3,1
5/28/2017,Crotone,Lazio,3,1,4,1
5/28/2017,Fiorentina,Pescara,2,2,4,0
5/28/2017,Inter,Udinese,5,2,7,1
5/28/2017,Palermo,Empoli,2,1,3,1
5/28/2017,Roma,Genoa,3,2,5,1
5/28/2017,Sampdoria,Napoli,2,4,6,0
